period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
75,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,32.84234234234234,0.0,0.0,0.0,32.84234234234234,0.0,0.6055555555555557,0.0,-0.0,0.0,0.0,140.0
76,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,32.992492492492495,0.0,0.0,0.0,32.992492492492495,0.0,0.5981481481481483,0.0,-0.0,0.0,0.0,140.0
77,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,33.44294294294294,0.0,0.0,0.0,33.44294294294294,0.0,0.5907407407407409,0.0,-0.0,0.0,0.0,140.0
78,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,30.13963963963964,0.0,0.0,0.0,30.13963963963964,0.0,0.5833333333333335,0.0,-0.0,0.0,0.0,140.0
79,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,32.091591591591595,0.0,0.0,0.0,32.091591591591595,0.0,0.5759259259259261,0.0,-0.0,0.0,0.0,140.0
80,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,32.091591591591595,2.9999999999999982,0.0,3.0000000000000036,32.091591591591595,0.0,0.5685185185185186,0.0,-0.0,0.0,0.0,140.0
81,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,25.785285285285283,3.0000000000000018,0.0,3.0,25.785285285285283,0.0,0.5611111111111112,0.0,-0.0,0.0,0.0,140.0
82,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,17.527027027027025,2.9999999999999964,0.0,3.0,17.527027027027025,0.0,0.5537037037037038,0.0,-0.0,0.0,0.0,140.0
83,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,12.875375375375373,3.0,0.0,3.0,12.875375375375373,0.0,0.5462962962962964,0.0,-0.0,0.0,0.0,140.0
84,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,7.178678678678679,0.0,0.0,0.0,7.178678678678679,0.0,0.538888888888889,0.0,-0.0,0.0,0.0,140.0
85,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,16.03753753753754,0.0,0.0,0.0,16.03753753753754,0.0,0.5314814814814816,0.0,-0.0,0.0,0.0,140.0
86,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,12.436936936936936,0.0,0.0,0.0,12.436936936936936,0.0,0.5240740740740741,0.0,-0.0,0.0,0.0,140.0
